,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
8,Actual(MU),254.3,-349.3,255.7,-155.7,-12.4,,08.08.23,-7.5
9,O/D/U/D(MU),-39.6,-8.9,45.2,-2.5,-1.7,,08.08.23,-7.5
10,Central,3016,14193,7058,4205,305,,08.08.23,28776
11,State,5765,15056,10131,2770,131,,08.08.23,33853
12,Coal,744,1321,500,608,16,,08.08.23,3188
13,Lignite,28,7,58,0,0,,08.08.23,92
14,Hydro,426,107,119,140,36,,08.08.23,829
15,Nuclear,29,50,69,0,0,,08.08.23,149
0,Demand Met during Evening Peak hrs(MW),73127,54689,45313,24935,3394,,08.09.23,201458
1,Peak Shortage (MW),250,0,0,113,11,,08.09.23,374
2,Energy Met (MU),1681,1327,1067,540,66,,08.09.23,4681
3,Hydro Gen (MU),320,34,56,125,33,,08.09.23,567
4,Wind Gen (MU),4,207,230,-,-,,08.09.23,441
5,Solar Gen (MU),130.30,41.68,94.80,1.47,0.92,,08.09.23,269
6,Energy Shortage (MU),2.66,0.00,0.00,0.15,0.85,,08.09.23,3.66
7,Schedule(MU),470.9,-310.7,1.7,-155.2,-6.6,,08.09.23,0.0
8,Actual(MU),469.4,-309.7,3.3,-169.1,-2.1,,08.09.23,-8.3
9,O/D/U/D(MU),-1.5,1.0,1.6,-13.9,4.5,,08.09.23,-8.3
10,Central,3800,10686,3748,1000,355,,08.09.23,19589
11,State,6636,11892,4922,2974,155,,08.09.23,26578
12,Coal,762,1372,600,643,14,,08.09.23,3391
13,Lignite,24,13,44,0,0,,08.09.23,81
14,Hydro,320,34,56,125,33,,08.09.23,567
15,Nuclear,30,54,75,0,0,,08.09.23,159
0,Demand Met during Evening Peak hrs(MW),60967,61107,44794,23988,2979,,08.10.23,193835
1,Peak Shortage (MW),617,0,0,1092,0,,08.10.23,1709
2,Energy Met (MU),1406,1422,1187,548,54,,08.10.23,4617
3,Hydro Gen (MU),204,74,83,84,33,,08.10.23,478
4,Wind Gen (MU),44,54,28,-,-,,08.10.23,126
5,Solar Gen (MU),132.95,66.15,118.18,5.21,0.72,,08.10.23,323
6,Energy Shortage (MU),8.93,0.00,7.65,7.24,0.00,,08.10.23,23.82
7,Schedule(MU),232.8,-301.6,181.0,-92.8,-19.4,,08.10.23,-0.1
8,Actual(MU),218.4,-303.8,208.6,-104.4,-17.4,,08.10.23,1.4
9,O/D/U/D(MU),-14.4,-2.2,27.7,-11.5,1.9,,08.10.23,1.5
10,Central,4267,10854,6448,2966,355,,08.10.23,24889
11,State,5346,7669,6111,3040,129,,08.10.23,22295
12,Coal,798,1536,702,620,17,,08.10.23,3673
13,Lignite,24,14,33,0,0,,08.10.23,72
14,Hydro,204,74,83,84,33,,08.10.23,478
15,Nuclear,25,48,58,0,0,,08.10.23,130
0,Demand Met during Evening Peak hrs(MW),48418,56338,44458,24661,2622,,09.04.23,176497
1,Peak Shortage (MW),0,0,0,303,73,,09.04.23,376
2,Energy Met (MU),1005,1378,1188,531,49,,09.04.23,4151
3,Hydro Gen (MU),117,28,65,39,9,,09.04.23,259
4,Wind Gen (MU),20,55,47,-,-,,09.04.23,121
5,Solar Gen (MU),141.36,62.94,123.26,3.22,1.12,,09.04.23,332
6,Energy Shortage (MU),1.16,0.00,0.00,4.86,1.49,,09.04.23,7.51
7,Schedule(MU),68.9,-185.3,220.5,-101.6,-2.5,,09.04.23,0.0
8,Actual(MU),51.2,-173.1,218.7,-102.2,-0.3,,09.04.23,-5.8
9,O/D/U/D(MU),-17.7,12.2,-1.8,-0.6,2.1,,09.04.23,-5.8
10,Central,4037,12106,4298,1775,534,,09.04.23,22749
11,State,11120,11048,5211,1230,348,,09.04.23,28956
12,Coal,658,1454,644,687,15,,09.04.23,3458
13,Lignite,27,18,62,0,0,,09.04.23,108
14,Hydro,117,28,65,39,9,,09.04.23,259
15,Nuclear,30,34,70,0,0,,09.04.23,134
0,Demand Met during Evening Peak hrs(MW),57155,60250,45070,26122,3058,,09.05.23,191655
1,Peak Shortage (MW),1205,0,258,838,47,,09.05.23,2348
2,Energy Met (MU),1275,1423,1030,591,57,,09.05.23,4376
3,Hydro Gen (MU),182,47,67,63,11,,09.05.23,369
4,Wind Gen (MU),18,60,37,-,-,,09.05.23,114
5,Solar Gen (MU),144.91,66.89,119.00,5.38,1.26,,09.05.23,337
6,Energy Shortage (MU),7.05,0.00,0.00,6.10,1.47,,09.05.23,14.62
7,Schedule(MU),208.6,-228.3,85.8,-72.1,6.0,,09.05.23,0.0
8,Actual(MU),206.4,-226.9,86.5,-76.5,7.6,,09.05.23,-3.0
9,O/D/U/D(MU),-2.2,1.4,0.8,-4.5,1.6,,09.05.23,-3.0
10,Central,6027,8204,6458,1590,460,,09.05.23,22739
11,State,6005,9632,3591,1530,262,,09.05.23,21020
12,Coal,736,1520,656,689,15,,09.05.23,3617
13,Lignite,18,21,49,0,0,,09.05.23,87
14,Hydro,182,47,67,63,11,,09.05.23,369
15,Nuclear,28,36,52,0,0,,09.05.23,116
0,Demand Met during Evening Peak hrs(MW),67027,63465,47588,25154,3133,,09.06.23,206367
1,Peak Shortage (MW),170,0,0,0,19,,09.06.23,189
2,Energy Met (MU),1520,1527,1191,615,61,,09.06.23,4913
3,Hydro Gen (MU),237,32,59,69,9,,09.06.23,405
4,Wind Gen (MU),48,147,215,-,-,,09.06.23,410
5,Solar Gen (MU),134.72,68.25,124.70,3.07,0.85,,09.06.23,332
6,Energy Shortage (MU),5.61,0.92,0.00,2.53,1.59,,09.06.23,10.65
7,Schedule(MU),257.9,-248.7,33.7,-62.3,19.4,,09.06.23,0.0
8,Actual(MU),234.9,-252.1,50.2,-57.1,18.1,,09.06.23,-6.0
9,O/D/U/D(MU),-23.0,-3.4,16.5,5.3,-1.3,,09.06.23,-6.0
10,Central,1976,7885,5268,1130,818,,09.06.23,17077
11,State,4465,9944,5098,2210,286,,09.06.23,22003
12,Coal,845,1542,688,687,18,,09.06.23,3780
13,Lignite,23,19,57,0,0,,09.06.23,100
14,Hydro,237,32,59,69,9,,09.06.23,405
15,Nuclear,29,32,45,0,0,,09.06.23,106
0,Demand Met during Evening Peak hrs(MW),73165,57711,45302,24927,3076,,09.08.23,204181
1,Peak Shortage (MW),2254,884,3771,607,321,,09.08.23,7837
2,Energy Met (MU),1676,1371,1220,532,63,,09.08.23,4863
3,Hydro Gen (MU),424,109,114,139,35,,09.08.23,820
4,Wind Gen (MU),66,207,108,-,-,,09.08.23,381
5,Solar Gen (MU),122.29,40.52,115.10,2.22,0.98,,09.08.23,281
6,Energy Shortage (MU),12.53,3.71,21.73,2.75,1.46,,09.08.23,42.18
7,Schedule(MU),264.5,-332.8,233.3,-153.8,-11.3,,09.08.23,0.0
8,Actual(MU),235.7,-335.7,262.9,-158.5,-11.1,,09.08.23,-6.6
9,O/D/U/D(MU),-28.9,-2.9,29.7,-4.7,0.2,,09.08.23,-6.6
10,Central,2211,14108,6758,4611,305,,09.08.23,27993
11,State,5230,14017,7331,2270,131,,09.08.23,28978
12,Coal,825,1358,545,598,17,,09.08.23,3342
13,Lignite,28,7,49,0,0,,09.08.23,84
14,Hydro,424,109,114,139,35,,09.08.23,820
15,Nuclear,29,50,68,0,0,,09.08.23,147
0,Demand Met during Evening Peak hrs(MW),67419,57619,44709,25861,3447,,09.09.23,199055
1,Peak Shortage (MW),150,0,0,171,10,,09.09.23,331
2,Energy Met (MU),1572,1349,1093,556,68,,09.09.23,4638
3,Hydro Gen (MU),321,32,54,128,35,,09.09.23,571
4,Wind Gen (MU),8,212,245,-,-,,09.09.23,465
5,Solar Gen (MU),128.29,41.94,103.98,2.19,1.02,,09.09.23,277
6,Energy Shortage (MU),1.88,0.00,0.00,0.75,2.37,,09.09.23,5.00
7,Schedule(MU),434.1,-282.1,2.8,-150.3,-4.4,,09.09.23,0.0
8,Actual(MU),410.3,-279.7,8.4,-146.8,1.7,,09.09.23,-6.1
9,O/D/U/D(MU),-23.8,2.5,5.7,3.5,6.1,,09.09.23,-6.1
10,Central,3789,10486,3748,1600,355,,09.09.23,19977
11,State,6636,11562,4742,2514,155,,09.09.23,25608
12,Coal,703,1367,600,632,13,,09.09.23,3316
13,Lignite,24,14,44,0,0,,09.09.23,82
14,Hydro,321,32,54,128,35,,09.09.23,571
15,Nuclear,29,54,76,0,0,,09.09.23,159
0,Demand Met during Evening Peak hrs(MW),60787,64571,48151,24383,2928,,09.10.23,200820
1,Peak Shortage (MW),3055,367,1605,1654,30,,09.10.23,6711
2,Energy Met (MU),1422,1472,1226,560,55,,09.10.23,4735
3,Hydro Gen (MU),199,64,101,81,38,,09.10.23,482
4,Wind Gen (MU),44,76,23,-,-,,09.10.23,143
5,Solar Gen (MU),133.09,66.57,110.63,5.36,0.87,,09.10.23,317
6,Energy Shortage (MU),28.98,1.43,6.77,12.12,0.29,,09.10.23,49.59
7,Schedule(MU),240.8,-315.1,207.4,-109.5,-23.7,,09.10.23,0.0
8,Actual(MU),219.8,-332.3,233.8,-103.1,-22.0,,09.10.23,-3.7
9,O/D/U/D(MU),-21.0,-17.2,26.3,6.5,1.7,,09.10.23,-3.7
10,Central,2797,8117,6238,3746,355,,09.10.23,21252
11,State,5481,7863,6816,3210,129,,09.10.23,23499
12,Coal,809,1564,706,641,17,,09.10.23,3738
13,Lignite,22,14,31,0,0,,09.10.23,67
14,Hydro,199,64,101,81,38,,09.10.23,482
15,Nuclear,24,53,68,0,0,,09.10.23,146
0,Demand Met during Evening Peak hrs(MW),51198,61383,48890,24570,2764,,10.04.23,188805
1,Peak Shortage (MW),425,0,0,314,58,,10.04.23,797
2,Energy Met (MU),1051,1443,1258,545,50,,10.04.23,4348
3,Hydro Gen (MU),119,40,71,40,9,,10.04.23,279
4,Wind Gen (MU),22,49,55,-,-,,10.04.23,125
5,Solar Gen (MU),127.23,64.71,132.54,3.21,1.24,,10.04.23,329
6,Energy Shortage (MU),10.69,0.00,0.00,3.34,1.30,,10.04.23,15.33
7,Schedule(MU),84.2,-180.7,218.0,-120.8,-0.7,,10.04.23,0.0
8,Actual(MU),69.2,-169.6,223.3,-130.3,0.8,,10.04.23,-6.6
9,O/D/U/D(MU),-15.0,11.1,5.3,-9.5,1.5,,10.04.23,-6.6
10,Central,3827,12266,4298,620,534,,10.04.23,21544
11,State,11685,10036,3531,1020,348,,10.04.23,26619
12,Coal,704,1506,681,739,16,,10.04.23,3646
13,Lignite,26,17,65,0,0,,10.04.23,108
14,Hydro,119,40,71,40,9,,10.04.23,279
15,Nuclear,30,35,70,0,0,,10.04.23,135
0,Demand Met during Evening Peak hrs(MW),58763,61029,45941,25989,2805,,10.05.23,194527
1,Peak Shortage (MW),120,0,0,347,45,,10.05.23,512
2,Energy Met (MU),1281,1436,1043,590,56,,10.05.23,4406
3,Hydro Gen (MU),176,41,62,58,9,,10.05.23,346
4,Wind Gen (MU),16,60,27,-,-,,10.05.23,104
5,Solar Gen (MU),147.26,70.35,126.14,6.21,1.24,,10.05.23,351
6,Energy Shortage (MU),3.51,0.00,1.68,3.22,1.62,,10.05.23,10.03
7,Schedule(MU),213.5,-226.2,76.1,-70.9,7.5,,10.05.23,0.0
8,Actual(MU),199.9,-230.4,86.5,-72.0,6.9,,10.05.23,-9.1
9,O/D/U/D(MU),-13.7,-4.1,10.4,-1.2,-0.6,,10.05.23,-9.1
10,Central,4687,7907,5458,1590,460,,10.05.23,20102
11,State,6245,8772,3551,920,277,,10.05.23,19764
12,Coal,770,1529,683,689,14,,10.05.23,3685
13,Lignite,18,20,47,0,0,,10.05.23,84
14,Hydro,176,41,62,58,9,,10.05.23,346
15,Nuclear,25,46,52,0,0,,10.05.23,123
0,Demand Met during Evening Peak hrs(MW),63674,61067,46829,25305,3017,,10.06.23,199892
1,Peak Shortage (MW),349,0,0,237,17,,10.06.23,603
2,Energy Met (MU),1526,1513,1152,600,58,,10.06.23,4848
3,Hydro Gen (MU),263,24,62,66,13,,10.06.23,416
4,Wind Gen (MU),60,157,222,----------,-,,10.06.23,439
5,Solar Gen (MU),131.55,66.71,124.85,2.96,0.84,,10.06.23,327
6,Energy Shortage (MU),5.14,0.08,0.00,2.17,1.18,,10.06.23,8.57
7,Schedule(MU),261.5,-229.5,19.2,-62.9,11.7,,10.06.23,0.0
8,Actual(MU),237.1,-228.1,35.6,-59.6,11.2,,10.06.23,-3.7
9,O/D/U/D(MU),-24.3,1.4,16.4,3.3,-0.5,,10.06.23,-3.7
10,Central,2309,9150,5978,930,818,,10.06.23,19186
11,State,5625,10648,5178,3470,286,,10.06.23,25207
12,Coal,819,1560,655,664,16,,10.06.23,3714
13,Lignite,24,19,57,0,0,,10.06.23,99
14,Hydro,263,24,62,70,13,,10.06.23,431
15,Nuclear,29,32,45,0,0,,10.06.23,106
0,Demand Met during Evening Peak hrs(MW),57721,54469,44813,27177,3239,,10.07.23,187419
1,Peak Shortage (MW),450,0,0,0,0,,10.07.23,450
2,Energy Met (MU),1246,1265,1098,603,62,,10.07.23,4274
3,Hydro Gen (MU),156,46,64,132,30,,10.07.23,428
4,Wind Gen (MU),10,151,148,-,-,,10.07.23,309
5,Solar Gen (MU),121.33,40.03,94.05,2.74,0.72,,10.07.23,259
6,Energy Shortage (MU),3.96,0.00,0.00,1.00,0.93,,10.07.23,5.89
7,Schedule(MU),333.0,-299.5,86.3,-115.6,-4.2,,10.07.23,0.0
8,Actual(MU),308.2,-308.0,116.2,-119.9,-3.6,,10.07.23,-7.1
9,O/D/U/D(MU),-24.7,-8.6,29.9,-4.2,0.6,,10.07.23,-7.1
10,Central,9784,9711,7198,1210,330,,10.07.23,28233
11,State,10345,15654,6543,2710,314,,10.07.23,35565
12,Coal,659,1377,625,657,16,,10.07.23,3333
13,Lignite,24,14,57,0,0,,10.07.23,94
14,Hydro,156,46,64,132,30,,10.07.23,428
15,Nuclear,25,47,42,0,0,,10.07.23,114
0,Demand Met during Evening Peak hrs(MW),72269,58485,47036,24818,3369,,10.08.23,205977
1,Peak Shortage (MW),3746,1636,1575,1307,43,,10.08.23,8307
2,Energy Met (MU),1678,1395,1205,564,65,,10.08.23,4907
3,Hydro Gen (MU),420,112,109,140,35,,10.08.23,815
4,Wind Gen (MU),47,200,78,-,-,,10.08.23,325
5,Solar Gen (MU),122.05,47.33,108.46,2.56,0.76,,10.08.23,281
6,Energy Shortage (MU),23.30,8.21,17.67,7.54,0.97,,10.08.23,57.69
7,Schedule(MU),242.8,-316.5,212.7,-131.2,-7.9,,10.08.23,0.0
8,Actual(MU),230.3,-361.4,233.4,-125.3,-8.8,,10.08.23,-31.8
9,O/D/U/D(MU),-12.5,-44.9,20.7,5.9,-0.9,,10.08.23,-31.8
10,Central,2710,12598,7258,4630,305,,10.08.23,27501
11,State,5880,12870,6148,2520,152,,10.08.23,27570
12,Coal,852,1332,604,600,18,,10.08.23,3406
13,Lignite,27,7,45,0,0,,10.08.23,80
14,Hydro,420,112,109,140,35,,10.08.23,815
15,Nuclear,29,50,70,0,0,,10.08.23,149
0,Demand Met during Evening Peak hrs(MW),65090,56261,41879,27001,3461,,10.09.23,193692
1,Peak Shortage (MW),0,0,0,79,11,,10.09.23,90
2,Energy Met (MU),1469,1330,1035,591,66,,10.09.23,4490
3,Hydro Gen (MU),322,27,47,122,32,,10.09.23,551
4,Wind Gen (MU),21,231,249,-,-,,10.09.23,501
5,Solar Gen (MU),126.87,47.47,98.49,2.60,0.98,,10.09.23,276
6,Energy Shortage (MU),0.24,0.00,0.00,0.56,1.48,,10.09.23,2.28
7,Schedule(MU),371.0,-271.2,7.2,-103.7,-3.3,,10.09.23,0.0
8,Actual(MU),335.8,-261.4,12.1,-89.9,0.7,,10.09.23,-2.6
9,O/D/U/D(MU),-35.2,9.8,4.9,13.9,4.0,,10.09.23,-2.6
10,Central,3883,9936,3748,1000,355,,10.09.23,18921
11,State,7101,11454,6622,3329,155,,10.09.23,28660
12,Coal,659,1295,551,621,12,,10.09.23,3138
13,Lignite,25,13,42,0,0,,10.09.23,81
14,Hydro,322,27,47,122,32,,10.09.23,551
15,Nuclear,30,54,76,0,0,,10.09.23,159
0,Demand Met during Evening Peak hrs(MW),61156,64753,47743,25338,3111,,10.10.23,202101
1,Peak Shortage (MW),1721,292,1350,1781,220,,10.10.23,5364
2,Energy Met (MU),1425,1495,1221,564,59,,10.10.23,4764
3,Hydro Gen (MU),198,73,91,79,35,,10.10.23,477
4,Wind Gen (MU),26,80,26,-,-,,10.10.23,132
5,Solar Gen (MU),133.70,64.99,111.24,2.79,1.09,,10.10.23,314
6,Energy Shortage (MU),21.93,1.35,5.20,16.08,0.99,,10.10.23,45.55
7,Schedule(MU),268.3,-349.4,206.6,-118.5,-7.1,,10.10.23,0.0
8,Actual(MU),237.7,-361.5,235.8,-105.1,-15.4,,10.10.23,-8.5
9,O/D/U/D(MU),-30.6,-12.2,29.2,13.4,-8.4,,10.10.23,-8.5
10,Central,2645,8404,5738,3476,240,,10.10.23,20502
11,State,7291,6296,6636,2900,129,,10.10.23,23252
12,Coal,804,1581,700,649,17,,10.10.23,3752
13,Lignite,21,16,35,0,0,,10.10.23,72
14,Hydro,198,73,91,79,35,,10.10.23,477
15,Nuclear,24,54,69,0,0,,10.10.23,147
0,Demand Met during Evening Peak hrs(MW),53596,61721,49832,25584,2856,,11.04.23,193589
1,Peak Shortage (MW),227,0,0,201,64,,11.04.23,492
2,Energy Met (MU),1091,1459,1291,559,53,,11.04.23,4452
3,Hydro Gen (MU),125,65,80,39,8,,11.04.23,316
4,Wind Gen (MU),17,57,41,-,-,,11.04.23,115
5,Solar Gen (MU),100.13,64.47,133.58,2.90,1.20,,11.04.23,302
6,Energy Shortage (MU),7.94,0.00,0.00,3.04,1.46,,11.04.23,12.44
7,Schedule(MU),97.2,-193.8,226.3,-130.1,0.4,,11.04.23,0.0
8,Actual(MU),97.4,-189.0,222.2,-139.4,3.2,,11.04.23,-5.6
9,O/D/U/D(MU),0.1,4.8,-4.1,-9.3,2.9,,11.04.23,-5.6
10,Central,3317,10761,3498,620,459,,11.04.23,18654
11,State,6905,9961,3749,1080,348,,11.04.23,22042
12,Coal,752,1509,717,760,16,,11.04.23,3755
13,Lignite,25,17,64,0,0,,11.04.23,107
14,Hydro,125,65,80,39,8,,11.04.23,316
15,Nuclear,30,35,70,0,0,,11.04.23,135
0,Demand Met during Evening Peak hrs(MW),59520,61600,46027,26146,2956,,11.05.23,196249
1,Peak Shortage (MW),250,0,0,221,25,,11.05.23,496
2,Energy Met (MU),1322,1465,1071,593,57,,11.05.23,4508
3,Hydro Gen (MU),182,36,61,53,9,,11.05.23,341
4,Wind Gen (MU),4,89,64,-,-,,11.05.23,158
5,Solar Gen (MU),145.06,70.22,119.21,3.45,1.26,,11.05.23,339
6,Energy Shortage (MU),1.31,0.00,0.00,3.13,1.57,,11.05.23,6.01
7,Schedule(MU),220.8,-221.4,65.1,-72.6,8.1,,11.05.23,0.0
8,Actual(MU),206.8,-225.8,72.6,-66.3,10.4,,11.05.23,-2.4
9,O/D/U/D(MU),-14.0,-4.5,7.5,6.3,2.3,,11.05.23,-2.4
10,Central,4797,6587,4808,1890,460,,11.05.23,18542
11,State,7240,8007,3551,1030,277,,11.05.23,20104
12,Coal,787,1515,694,689,15,,11.05.23,3700
13,Lignite,20,20,48,0,0,,11.05.23,89
14,Hydro,182,36,61,53,9,,11.05.23,341
15,Nuclear,25,48,52,0,0,,11.05.23,125
0,Demand Met during Evening Peak hrs(MW),64682,59282,42604,23853,2864,,11.06.23,193285
1,Peak Shortage (MW),145,0,0,0,13,,11.06.23,158
2,Energy Met (MU),1448,1438,1087,590,52,,11.06.23,4614
3,Hydro Gen (MU),279,21,61,76,23,,11.06.23,460
4,Wind Gen (MU),41,158,209,-,-,,11.06.23,407
5,Solar Gen (MU),131.53,64.88,118.86,5.51,0.58,,11.06.23,321
6,Energy Shortage (MU),0.68,0.73,0.00,1.43,0.20,,11.06.23,3.04
7,Schedule(MU),254.6,-223.0,24.8,-58.6,2.2,,11.06.23,0.0
8,Actual(MU),230.7,-220.3,37.2,-50.5,0.7,,11.06.23,-2.3
9,O/D/U/D(MU),-23.9,2.7,12.4,8.1,-1.5,,11.06.23,-2.3
10,Central,3230,8304,6078,1645,818,,11.06.23,20074
11,State,5095,10581,7788,1750,278,,11.06.23,25491
12,Coal,763,1483,603,644,12,,11.06.23,3505
13,Lignite,25,18,53,0,0,,11.06.23,97
14,Hydro,279,21,61,76,23,,11.06.23,460
15,Nuclear,29,32,45,0,0,,11.06.23,106
0,Demand Met during Evening Peak hrs(MW),63185,54836,44508,26486,3206,,11.07.23,192221
1,Peak Shortage (MW),770,0,0,0,31,,11.07.23,801
2,Energy Met (MU),1339,1285,1078,594,63,,11.07.23,4359
3,Hydro Gen (MU),182,50,61,129,31,,11.07.23,454
4,Wind Gen (MU),27,143,161,-,-,,11.07.23,331
5,Solar Gen (MU),132.73,40.50,81.76,2.31,0.64,,11.07.23,258
6,Energy Shortage (MU),5.85,0.00,0.00,0.29,1.08,,11.07.23,7.22
7,Schedule(MU),327.7,-305.9,89.5,-107.1,-4.2,,11.07.23,0.0
8,Actual(MU),310.5,-305.5,110.6,-116.7,-2.8,,11.07.23,-3.9
9,O/D/U/D(MU),-17.2,0.4,21.2,-9.6,1.4,,11.07.23,-3.9
10,Central,9412,9711,7288,1405,305,,11.07.23,28121
11,State,8025,15404,7403,3460,322,,11.07.23,34613
12,Coal,709,1398,611,647,15,,11.07.23,3381
13,Lignite,25,16,55,0,0,,11.07.23,96
14,Hydro,182,50,61,129,31,,11.07.23,454
15,Nuclear,25,47,41,0,0,,11.07.23,113
0,Demand Met during Evening Peak hrs(MW),73544,60020,45368,25469,3228,,11.08.23,207629
1,Peak Shortage (MW),3656,995,388,650,232,,11.08.23,5921
2,Energy Met (MU),1707,1421,1205,579,66,,11.08.23,4978
3,Hydro Gen (MU),425,116,112,126,35,,11.08.23,814
4,Wind Gen (MU),37,170,59,-,-,,11.08.23,265
5,Solar Gen (MU),121.73,48.03,117.47,2.28,0.90,,11.08.23,290
6,Energy Shortage (MU),26.41,8.60,8.66,4.26,1.39,,11.08.23,49.32
7,Schedule(MU),265.5,-328.5,200.4,-127.4,-10.0,,11.08.23,0.0
8,Actual(MU),250.4,-348.6,227.0,-123.1,-9.8,,11.08.23,-4.2
9,O/D/U/D(MU),-15.1,-20.1,26.6,4.3,0.2,,11.08.23,-4.2
10,Central,2018,11254,7758,2360,305,,11.08.23,23694
11,State,6140,11861,6228,2520,152,,11.08.23,26901
12,Coal,861,1436,610,636,17,,11.08.23,3559
13,Lignite,27,8,46,0,0,,11.08.23,81
14,Hydro,425,116,112,126,35,,11.08.23,814
15,Nuclear,28,50,71,0,0,,11.08.23,149
0,Demand Met during Evening Peak hrs(MW),68868,60268,45464,27822,3380,,11.09.23,205802
1,Peak Shortage (MW),0,0,0,79,14,,11.09.23,93
2,Energy Met (MU),1519,1410,1099,626,66,,11.09.23,4720
3,Hydro Gen (MU),321,32,66,120,31,,11.09.23,570
4,Wind Gen (MU),30,214,224,-,-,,11.09.23,468
5,Solar Gen (MU),129.49,53.75,97.96,2.58,1.01,,11.09.23,285
6,Energy Shortage (MU),0.23,0.00,0.00,0.63,0.09,,11.09.23,0.95
7,Schedule(MU),358.1,-281.3,30.1,-104.2,-2.7,,11.09.23,0.0
8,Actual(MU),327.6,-277.4,52.4,-111.9,0.2,,11.09.23,-9.1
9,O/D/U/D(MU),-30.6,3.9,22.3,-7.6,2.9,,11.09.23,-9.1
10,Central,3859,9936,4658,500,405,,11.09.23,19357
11,State,6266,10854,5472,3329,157,,11.09.23,26077
12,Coal,710,1411,580,669,14,,11.09.23,3384
13,Lignite,27,14,42,0,0,,11.09.23,83
14,Hydro,321,32,66,120,31,,11.09.23,570
15,Nuclear,30,54,76,0,0,,11.09.23,159
0,Demand Met during Evening Peak hrs(MW),60305,64674,49324,25839,3150,,11.10.23,203292
1,Peak Shortage (MW),724,103,1000,1311,236,,11.10.23,3374
2,Energy Met (MU),1423,1509,1215,570,62,,11.10.23,4779
3,Hydro Gen (MU),193,92,89,75,35,,11.10.23,484
4,Wind Gen (MU),8,34,39,-,-,,11.10.23,80
5,Solar Gen (MU),131.42,63.16,109.87,3.00,1.04,,11.10.23,308
6,Energy Shortage (MU),15.19,1.23,4.40,9.44,1.80,,11.10.23,32.06
7,Schedule(MU),278.3,-344.0,182.5,-109.7,-7.1,,11.10.23,0.0
8,Actual(MU),257.9,-333.6,191.4,-108.3,-12.9,,11.10.23,-5.4
9,O/D/U/D(MU),-20.3,10.3,8.9,1.4,-5.8,,11.10.23,-5.4
10,Central,2645,7294,4428,3726,240,,11.10.23,18332
11,State,7066,8154,5636,2440,129,,11.10.23,23425
12,Coal,794,1610,732,664,17,,11.10.23,3818
13,Lignite,22,17,34,0,0,,11.10.23,73
14,Hydro,193,92,89,75,35,,11.10.23,484
15,Nuclear,24,53,70,0,0,,11.10.23,147
0,Demand Met during Evening Peak hrs(MW),54966,62642,50473,25938,2843,,12.04.23,196862
1,Peak Shortage (MW),75,0,0,665,74,,12.04.23,814
2,Energy Met (MU),1134,1502,1305,561,54,,12.04.23,4555
3,Hydro Gen (MU),124,49,83,35,9,,12.04.23,300
4,Wind Gen (MU),16,69,37,-,-,,12.04.23,122
5,Solar Gen (MU),140.77,66.85,131.74,2.87,1.12,,12.04.23,343
6,Energy Shortage (MU),2.37,0.00,0.00,3.25,1.66,,12.04.23,7.28
7,Schedule(MU),71.0,-180.6,228.9,-120.2,1.0,,12.04.23,0.0
8,Actual(MU),59.9,-174.0,233.3,-127.2,3.7,,12.04.23,-4.3
9,O/D/U/D(MU),-11.0,6.7,4.4,-7.0,2.7,,12.04.23,-4.3
10,Central,3257,9656,2848,620,459,,12.04.23,16840
11,State,8160,10046,4832,970,252,,12.04.23,24259
12,Coal,785,1539,727,756,16,,12.04.23,3823
13,Lignite,24,16,64,0,0,,12.04.23,104
14,Hydro,124,49,83,35,9,,12.04.23,300
15,Nuclear,30,35,69,0,0,,12.04.23,135
0,Demand Met during Evening Peak hrs(MW),61733,61521,47338,26575,3040,,12.05.23,200207
1,Peak Shortage (MW),130,0,0,282,57,,12.05.23,469
2,Energy Met (MU),1378,1467,1085,594,57,,12.05.23,4581
3,Hydro Gen (MU),196,36,61,47,8,,12.05.23,348
4,Wind Gen (MU),26,118,105,-,-,,12.05.23,249
5,Solar Gen (MU),143.01,70.69,118.09,3.20,1.12,,12.05.23,336
6,Energy Shortage (MU),1.39,0.00,0.00,3.36,1.85,,12.05.23,6.60
7,Schedule(MU),258.7,-266.9,70.5,-71.9,9.6,,12.05.23,0.0
8,Actual(MU),249.5,-279.4,68.5,-56.0,12.5,,12.05.23,-4.8
9,O/D/U/D(MU),-9.1,-12.5,-2.0,15.9,2.9,,12.05.23,-4.8
10,Central,4797,7979,6418,520,460,,12.05.23,20174
11,State,8270,7537,3551,1380,277,,12.05.23,21014
12,Coal,771,1544,671,687,14,,12.05.23,3687
13,Lignite,22,19,47,0,0,,12.05.23,89
14,Hydro,196,36,61,47,8,,12.05.23,348
15,Nuclear,25,47,52,0,0,,12.05.23,123
0,Demand Met during Evening Peak hrs(MW),69843,62024,46951,24446,3179,,12.06.23,206443
1,Peak Shortage (MW),50,0,0,319,16,,12.06.23,385
2,Energy Met (MU),1587,1432,1166,576,56,,12.06.23,4817
3,Hydro Gen (MU),298,26,56,78,26,,12.06.23,484
4,Wind Gen (MU),43,214,193,-,-,,12.06.23,450
5,Solar Gen (MU),137.80,60.15,124.77,2.98,0.73,,12.06.23,326
6,Energy Shortage (MU),3.85,0.00,0.00,2.34,1.33,,12.06.23,7.52
7,Schedule(MU),328.3,-306.9,58.9,-80.4,0.0,,12.06.23,0.0
